S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
2922,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1487800,-,947,Strata,01 to 05,1571,15-Oct
2923,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1025000,-,947,Strata,11 to 15,1082,15-Oct
2924,BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1991,Resale,1,1220000,-,1324,Strata,01 to 05,921,15-Oct
2925,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1200375,-,969,Strata,06 to 10,1239,15-Oct
2926,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,930000,-,1184,Strata,11 to 15,785,15-Oct
2927,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1206378,-,1012,Strata,01 to 05,1192,15-Oct
2928,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1188000,-,2217,Strata,01 to 05,536,15-Oct
2929,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1225969,-,990,Strata,11 to 15,1238,15-Oct
2930,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,971819,-,797,Strata,06 to 10,1220,15-Oct
2931,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1399380,-,1141,Strata,06 to 10,1226,15-Oct
2932,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1472600,-,947,Strata,01 to 05,1555,15-Oct
2933,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1414648,-,1141,Strata,11 to 15,1240,15-Oct
2934,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1269653,-,1012,Strata,16 to 20,1255,15-Oct
2935,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1981,Resale,1,1330000,-,1701,Strata,11 to 15,782,15-Oct
2936,IVORY HEIGHTS,JURONG EAST STREET 13,Condominium,22,OCR,100 yrs lease commencing from 1986,Resale,1,1150000,-,1668,Strata,06 to 10,689,15-Oct
2937,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1025000,-,1281,Strata,01 to 05,800,15-Oct
2938,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1151500,-,721,Strata,01 to 05,1597,15-Oct
2939,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1208584,-,990,Strata,06 to 10,1220,15-Oct
2940,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,908888,-,883,Strata,01 to 05,1030,15-Oct
2941,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1350000,-,1302,Strata,11 to 15,1037,15-Oct
2942,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1615516,-,1335,Strata,06 to 10,1210,15-Oct
2943,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,930000,-,872,Strata,11 to 15,1067,15-Oct
2944,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,690000,-,624,Strata,01 to 05,1105,15-Oct
2945,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,984740,-,797,Strata,06 to 10,1236,15-Oct
2946,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1443858,-,1141,Strata,16 to 20,1265,15-Oct
2947,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1174446,-,947,Strata,06 to 10,1240,15-Oct
2948,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1220000,-,872,Strata,21 to 25,1399,15-Oct
2949,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,780000,-,1152,Strata,01 to 05,677,15-Oct
2950,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1215467,-,1012,Strata,01 to 05,1201,15-Oct
2951,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,870000,-,850,Strata,01 to 05,1023,15-Oct
2952,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1481742,-,1119,Strata,06 to 10,1324,15-Oct
2953,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1182462,-,990,Strata,01 to 05,1194,15-Oct
2954,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,992464,-,797,Strata,11 to 15,1246,15-Oct
2955,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1209018,1201018,990,Strata,01 to 05,1213,15-Oct
2956,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1717920,-,1066,Strata,21 to 25,1612,15-Oct
2957,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1978,Resale,1,1110000,-,1615,Strata,06 to 10,687,15-Oct
2958,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1315808,-,1012,Strata,16 to 20,1300,15-Oct
2959,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1482703,-,1119,Strata,11 to 15,1324,15-Oct
2960,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1403705,-,1141,Strata,11 to 15,1230,15-Oct
2961,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1304953,-,1012,Strata,16 to 20,1290,15-Oct
2962,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1294010,-,1012,Strata,16 to 20,1279,15-Oct
2963,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1452507,-,1141,Strata,16 to 20,1273,15-Oct
2964,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1978,Resale,1,1350000,-,1615,Strata,06 to 10,836,15-Oct
2965,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1070000,-,1141,Strata,16 to 20,938,15-Oct
2966,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1785000,-,1884,Strata,01 to 05,948,15-Oct
2967,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1173800,-,721,Strata,01 to 05,1628,15-Oct
2968,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,528000,-,431,Strata,01 to 05,1226,15-Oct
2969,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1225000,-,1227,Strata,01 to 05,998,15-Oct
2970,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1323309,-,1109,Strata,01 to 05,1194,15-Oct
2971,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,550000,-,431,Strata,01 to 05,1277,15-Sep
2972,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,963072,-,700,Strata,11 to 15,1376,15-Sep
2973,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1200000,-,1216,Strata,01 to 05,987,15-Sep
2974,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1185970,-,947,Strata,11 to 15,1252,15-Sep
2975,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1490385,-,1119,Strata,11 to 15,1331,15-Sep
2976,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,New Sale,1,1728700,-,1141,Strata,21 to 25,1515,15-Sep
2977,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1276880,-,1012,Strata,16 to 20,1262,15-Sep
2978,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1276264,-,1012,Strata,16 to 20,1261,15-Sep
2979,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,550000,-,431,Strata,01 to 05,1277,15-Sep
2980,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1200000,-,1313,Strata,21 to 25,914,15-Sep
2981,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1302500,-,1518,Strata,16 to 20,858,15-Sep
2982,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1451973,1444714,1119,Strata,06 to 10,1291,15-Sep
2983,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1166600,-,721,Strata,01 to 05,1618,15-Sep
2984,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1427184,-,1141,Strata,16 to 20,1251,15-Sep
2985,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,990000,-,926,Strata,11 to 15,1069,15-Sep
2986,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1358544,-,1141,Strata,01 to 05,1191,15-Sep
2987,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1673802,-,1302,Strata,11 to 15,1285,15-Sep
2988,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1090000,-,1227,Strata,11 to 15,888,15-Sep
2989,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1635390,1628888,1302,Strata,06 to 10,1251,15-Sep
2990,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Sub Sale,1,710000,-,635,Strata,01 to 05,1118,15-Sep
2991,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1797010,-,1561,Strata,01 to 05,1151,15-Sep
2992,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1481742,1471742,1119,Strata,06 to 10,1315,15-Sep
2993,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,925000,-,560,Strata,01 to 05,1653,15-Sep
2994,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1207536,-,1012,Strata,01 to 05,1193,15-Sep
2995,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1387400,-,872,Strata,01 to 05,1591,15-Sep
2996,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,540000,-,431,Strata,01 to 05,1254,15-Sep
2997,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1980000,-,1561,Strata,01 to 05,1269,15-Sep
2998,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1797120,-,1163,Strata,06 to 10,1546,15-Sep
2999,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,934700,-,560,Strata,01 to 05,1670,15-Sep
3000,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,2516946,-,2228,Strata,16 to 20,1130,15-Sep
3001,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1005840,-,797,Strata,16 to 20,1263,15-Sep
3002,COUNTRY ESQUIRE,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1900000,-,1679,Strata,11 to 15,1132,15-Sep
3003,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1100000,-,1313,Strata,06 to 10,838,15-Sep
3004,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,900000,-,1173,Strata,01 to 05,767,15-Sep
3005,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1161002,-,947,Strata,01 to 05,1226,15-Sep
3006,THE WOODGROVE,WOODGROVE DRIVE,Apartment,25,OCR,99 yrs lease commencing from 1996,Resale,1,760000,-,1033,Strata,06 to 10,735,15-Sep
3007,BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1991,Resale,1,1388000,-,1518,Strata,06 to 10,915,15-Sep
3008,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1360000,-,1259,Strata,11 to 15,1080,15-Sep
3009,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1270000,-,1184,Strata,06 to 10,1073,15-Sep
3010,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,960000,-,947,Strata,11 to 15,1013,15-Sep
3011,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1353616,-,1141,Strata,01 to 05,1186,15-Sep
3012,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1348776,-,1141,Strata,01 to 05,1182,15-Sep
3013,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Sub Sale,1,860000,-,850,Strata,01 to 05,1011,15-Sep
3014,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1158700,-,721,Strata,01 to 05,1607,15-Sep
3015,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1250000,-,1970,Strata,01 to 05,635,15-Sep
3016,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1610014,-,1335,Strata,06 to 10,1206,15-Sep
3017,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1068000,-,1270,Strata,06 to 10,841,15-Sep
3018,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1430000,-,1292,Strata,11 to 15,1107,15-Sep
3019,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,99 yrs lease commencing from 1978,Resale,1,1208000,-,1615,Strata,06 to 10,748,15-Sep
3020,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1315000,-,1216,Strata,16 to 20,1081,15-Sep
3021,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1306968,1298968,1141,Strata,01 to 05,1138,15-Sep
3022,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1200000,-,1195,Strata,11 to 15,1004,15-Sep
3023,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1078000,-,1141,Strata,11 to 15,945,15-Sep
3024,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1173800,-,721,Strata,01 to 05,1628,15-Aug
3025,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1393395,1379462,1270,Strata,01 to 05,1086,15-Aug
3026,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1218184,-,990,Strata,11 to 15,1230,15-Aug
3027,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1512472,1504472,1119,Strata,11 to 15,1344,15-Aug
3028,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1245000,-,1119,Strata,06 to 10,1112,15-Aug
3029,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1264715,-,990,Strata,11 to 15,1277,15-Aug
3030,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1160000,-,1152,Strata,06 to 10,1007,15-Aug
3031,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1222461,1213461,969,Strata,11 to 15,1253,15-Aug
3032,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,897000,-,893,Strata,16 to 20,1004,15-Aug
3033,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,820000,-,936,Strata,16 to 20,876,15-Aug
3034,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1395200,-,872,Strata,01 to 05,1600,15-Aug
3035,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,916800,-,560,Strata,01 to 05,1638,15-Aug
3036,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,New Sale,1,833000,-,689,Strata,01 to 05,1209,15-Aug
3037,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,1329328,-,1109,Strata,01 to 05,1199,15-Aug
3038,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1360000,-,1066,Strata,11 to 15,1276,15-Aug
3039,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,950000,-,936,Strata,11 to 15,1014,15-Aug
3040,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1531678,-,1302,Strata,01 to 05,1176,15-Aug
3041,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,New Sale,1,2864070,-,1755,Strata,26 to 30,1632,15-Aug
3042,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,3400000,-,3444,Strata,36 to 40,987,15-Aug
3043,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1153200,-,1227,Strata,11 to 15,940,15-Aug
3044,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,994209,-,797,Strata,11 to 15,1248,15-Aug
